,Exponent,Truth Label,Predicted Label,Confidence
277,0.32499999999999996,2,5,0.0
278,0.32499999999999996,2,6,0.0029239766081871343
279,0.32499999999999996,2,7,0.0029239766081871343
280,0.32499999999999996,3,0,0.007309941520467836
281,0.32499999999999996,3,1,0.0014619883040935672
282,0.32499999999999996,3,2,0.0043859649122807015
283,0.32499999999999996,3,3,0.9809941520467836
284,0.32499999999999996,3,4,0.0
285,0.32499999999999996,3,5,0.0
286,0.32499999999999996,3,6,0.0
287,0.32499999999999996,3,7,0.005847953216374269
288,0.32499999999999996,4,0,
289,0.32499999999999996,4,1,
290,0.32499999999999996,4,2,
291,0.32499999999999996,4,3,
292,0.32499999999999996,4,4,
293,0.32499999999999996,4,5,
294,0.32499999999999996,4,6,
295,0.32499999999999996,4,7,
296,0.32499999999999996,5,0,
297,0.32499999999999996,5,1,
298,0.32499999999999996,5,2,
299,0.32499999999999996,5,3,
300,0.32499999999999996,5,4,
301,0.32499999999999996,5,5,
302,0.32499999999999996,5,6,
303,0.32499999999999996,5,7,
304,0.32499999999999996,6,0,
305,0.32499999999999996,6,1,
306,0.32499999999999996,6,2,
307,0.32499999999999996,6,3,
308,0.32499999999999996,6,4,
309,0.32499999999999996,6,5,
310,0.32499999999999996,6,6,
311,0.32499999999999996,6,7,
312,0.32499999999999996,7,0,
313,0.32499999999999996,7,1,
314,0.32499999999999996,7,2,
315,0.32499999999999996,7,3,
316,0.32499999999999996,7,4,
317,0.32499999999999996,7,5,
318,0.32499999999999996,7,6,
319,0.32499999999999996,7,7,
320,0.375,0,0,0.7669421487603306
321,0.375,0,1,0.07603305785123966
322,0.375,0,2,0.003305785123966942
323,0.375,0,3,0.023140495867768594
324,0.375,0,4,0.006611570247933884
325,0.375,0,5,0.001652892561983471
326,0.375,0,6,0.006611570247933884
327,0.375,0,7,0.11570247933884298
328,0.375,1,0,0.04628099173553719
329,0.375,1,1,0.9487603305785124
330,0.375,1,2,0.0049586776859504135
331,0.375,1,3,0.0
332,0.375,1,4,0.0
333,0.375,1,5,0.0
334,0.375,1,6,0.0
335,0.375,1,7,0.0
336,0.375,2,0,0.0
337,0.375,2,1,0.001652892561983471
338,0.375,2,2,0.9950413223140496
339,0.375,2,3,0.001652892561983471
340,0.375,2,4,0.0
341,0.375,2,5,0.0
342,0.375,2,6,0.0
343,0.375,2,7,0.001652892561983471
344,0.375,3,0,0.003305785123966942
345,0.375,3,1,0.0
346,0.375,3,2,0.0
347,0.375,3,3,0.9834710743801653
348,0.375,3,4,0.003305785123966942
349,0.375,3,5,0.001652892561983471
350,0.375,3,6,0.0
351,0.375,3,7,0.008264462809917356
352,0.375,4,0,
353,0.375,4,1,
354,0.375,4,2,
355,0.375,4,3,
356,0.375,4,4,
357,0.375,4,5,
358,0.375,4,6,
359,0.375,4,7,
360,0.375,5,0,
361,0.375,5,1,
362,0.375,5,2,
363,0.375,5,3,
364,0.375,5,4,
365,0.375,5,5,
366,0.375,5,6,
367,0.375,5,7,
368,0.375,6,0,
369,0.375,6,1,
370,0.375,6,2,
371,0.375,6,3,
372,0.375,6,4,
373,0.375,6,5,
374,0.375,6,6,
375,0.375,6,7,
376,0.375,7,0,
377,0.375,7,1,
378,0.375,7,2,
379,0.375,7,3,
380,0.375,7,4,
381,0.375,7,5,
382,0.375,7,6,
383,0.375,7,7,
384,0.42500000000000004,0,0,0.8170542635658915
385,0.42500000000000004,0,1,0.06976744186046512
386,0.42500000000000004,0,2,0.0031007751937984496
387,0.42500000000000004,0,3,0.017054263565891473
388,0.42500000000000004,0,4,0.012403100775193798
389,0.42500000000000004,0,5,0.0015503875968992248
390,0.42500000000000004,0,6,0.012403100775193798
391,0.42500000000000004,0,7,0.06666666666666667
392,0.42500000000000004,1,0,0.04806201550387597
393,0.42500000000000004,1,1,0.9441860465116279
394,0.42500000000000004,1,2,0.007751937984496124
395,0.42500000000000004,1,3,0.0
396,0.42500000000000004,1,4,0.0
397,0.42500000000000004,1,5,0.0
398,0.42500000000000004,1,6,0.0
399,0.42500000000000004,1,7,0.0
400,0.42500000000000004,2,0,0.0015503875968992248
401,0.42500000000000004,2,1,0.0015503875968992248
402,0.42500000000000004,2,2,0.9844961240310077
403,0.42500000000000004,2,3,0.0015503875968992248
404,0.42500000000000004,2,4,0.0
405,0.42500000000000004,2,5,0.0
406,0.42500000000000004,2,6,0.007751937984496124
407,0.42500000000000004,2,7,0.0031007751937984496
408,0.42500000000000004,3,0,0.004651162790697674
409,0.42500000000000004,3,1,0.0
410,0.42500000000000004,3,2,0.007751937984496124
411,0.42500000000000004,3,3,0.9798449612403101
412,0.42500000000000004,3,4,0.0015503875968992248
413,0.42500000000000004,3,5,0.0
414,0.42500000000000004,3,6,0.0
415,0.42500000000000004,3,7,0.006201550387596899
416,0.42500000000000004,4,0,
417,0.42500000000000004,4,1,
418,0.42500000000000004,4,2,
419,0.42500000000000004,4,3,
420,0.42500000000000004,4,4,
421,0.42500000000000004,4,5,
422,0.42500000000000004,4,6,
423,0.42500000000000004,4,7,
424,0.42500000000000004,5,0,
425,0.42500000000000004,5,1,
426,0.42500000000000004,5,2,
427,0.42500000000000004,5,3,
428,0.42500000000000004,5,4,
429,0.42500000000000004,5,5,
430,0.42500000000000004,5,6,
431,0.42500000000000004,5,7,
432,0.42500000000000004,6,0,
433,0.42500000000000004,6,1,
434,0.42500000000000004,6,2,
435,0.42500000000000004,6,3,
436,0.42500000000000004,6,4,
437,0.42500000000000004,6,5,
438,0.42500000000000004,6,6,
439,0.42500000000000004,6,7,
440,0.42500000000000004,7,0,
441,0.42500000000000004,7,1,
442,0.42500000000000004,7,2,
443,0.42500000000000004,7,3,
444,0.42500000000000004,7,4,
445,0.42500000000000004,7,5,
446,0.42500000000000004,7,6,
447,0.42500000000000004,7,7,
448,0.475,0,0,0.8281505728314239
449,0.475,0,1,0.06710310965630115
450,0.475,0,2,0.006546644844517185
451,0.475,0,3,0.01309328968903437
452,0.475,0,4,0.004909983633387889
453,0.475,0,5,0.0
454,0.475,0,6,0.016366612111292964
455,0.475,0,7,0.06382978723404255
456,0.475,1,0,0.062193126022913256
457,0.475,1,1,0.9279869067103109
458,0.475,1,2,0.0032733224222585926
459,0.475,1,3,0.004909983633387889
460,0.475,1,4,0.0
461,0.475,1,5,0.0
462,0.475,1,6,0.0016366612111292963
463,0.475,1,7,0.0
464,0.475,2,0,0.0
465,0.475,2,1,0.0016366612111292963
466,0.475,2,2,0.983633387888707
467,0.475,2,3,0.004909983633387889
468,0.475,2,4,0.0
469,0.475,2,5,0.0
470,0.475,2,6,0.004909983633387889
471,0.475,2,7,0.004909983633387889
472,0.475,3,0,0.016366612111292964
473,0.475,3,1,0.0
474,0.475,3,2,0.004909983633387889
475,0.475,3,3,0.9574468085106383
476,0.475,3,4,0.004909983633387889
477,0.475,3,5,0.004909983633387889
478,0.475,3,6,0.0016366612111292963
479,0.475,3,7,0.009819967266775777
480,0.475,4,0,
481,0.475,4,1,
482,0.475,4,2,
483,0.475,4,3,
484,0.475,4,4,
485,0.475,4,5,
486,0.475,4,6,
487,0.475,4,7,
488,0.475,5,0,
